D:\PP-Laba-2\dataset_3\6033.jpg,dataset_3\6033.jpg,cat
D:\PP-Laba-2\dataset_3\9044.jpg,dataset_3\9044.jpg,cat
D:\PP-Laba-2\dataset_3\6970.jpg,dataset_3\6970.jpg,cat
D:\PP-Laba-2\dataset_3\1581.jpg,dataset_3\1581.jpg,cat
D:\PP-Laba-2\dataset_3\8404.jpg,dataset_3\8404.jpg,cat
D:\PP-Laba-2\dataset_3\4634.jpg,dataset_3\4634.jpg,cat
D:\PP-Laba-2\dataset_3\8367.jpg,dataset_3\8367.jpg,cat
D:\PP-Laba-2\dataset_3\234.jpg,dataset_3\234.jpg,cat
D:\PP-Laba-2\dataset_3\2298.jpg,dataset_3\2298.jpg,cat
D:\PP-Laba-2\dataset_3\1250.jpg,dataset_3\1250.jpg,cat
D:\PP-Laba-2\dataset_3\1966.jpg,dataset_3\1966.jpg,cat
D:\PP-Laba-2\dataset_3\2642.jpg,dataset_3\2642.jpg,cat
D:\PP-Laba-2\dataset_3\2171.jpg,dataset_3\2171.jpg,cat
D:\PP-Laba-2\dataset_3\1053.jpg,dataset_3\1053.jpg,cat
D:\PP-Laba-2\dataset_3\3108.jpg,dataset_3\3108.jpg,cat
D:\PP-Laba-2\dataset_3\9241.jpg,dataset_3\9241.jpg,cat
D:\PP-Laba-2\dataset_3\8049.jpg,dataset_3\8049.jpg,cat
D:\PP-Laba-2\dataset_3\8742.jpg,dataset_3\8742.jpg,cat
D:\PP-Laba-2\dataset_3\33.jpg,dataset_3\33.jpg,cat
D:\PP-Laba-2\dataset_3\1341.jpg,dataset_3\1341.jpg,cat
D:\PP-Laba-2\dataset_3\1672.jpg,dataset_3\1672.jpg,cat
D:\PP-Laba-2\dataset_3\8666.jpg,dataset_3\8666.jpg,cat
D:\PP-Laba-2\dataset_3\8261.jpg,dataset_3\8261.jpg,cat
D:\PP-Laba-2\dataset_3\863.jpg,dataset_3\863.jpg,cat
D:\PP-Laba-2\dataset_3\5791.jpg,dataset_3\5791.jpg,cat
D:\PP-Laba-2\dataset_3\7902.jpg,dataset_3\7902.jpg,cat
D:\PP-Laba-2\dataset_3\3805.jpg,dataset_3\3805.jpg,cat
D:\PP-Laba-2\dataset_3\3263.jpg,dataset_3\3263.jpg,cat
D:\PP-Laba-2\dataset_3\6520.jpg,dataset_3\6520.jpg,cat
D:\PP-Laba-2\dataset_3\567.jpg,dataset_3\567.jpg,cat
D:\PP-Laba-2\dataset_3\5760.jpg,dataset_3\5760.jpg,cat
D:\PP-Laba-2\dataset_3\2090.jpg,dataset_3\2090.jpg,cat
D:\PP-Laba-2\dataset_3\826.jpg,dataset_3\826.jpg,cat
D:\PP-Laba-2\dataset_3\8011.jpg,dataset_3\8011.jpg,cat
D:\PP-Laba-2\dataset_3\1886.jpg,dataset_3\1886.jpg,cat
D:\PP-Laba-2\dataset_3\2395.jpg,dataset_3\2395.jpg,cat
D:\PP-Laba-2\dataset_3\2498.jpg,dataset_3\2498.jpg,cat
D:\PP-Laba-2\dataset_3\2020.jpg,dataset_3\2020.jpg,cat
D:\PP-Laba-2\dataset_3\330.jpg,dataset_3\330.jpg,cat
D:\PP-Laba-2\dataset_3\1261.jpg,dataset_3\1261.jpg,cat
D:\PP-Laba-2\dataset_3\2134.jpg,dataset_3\2134.jpg,cat
D:\PP-Laba-2\dataset_3\8289.jpg,dataset_3\8289.jpg,cat
D:\PP-Laba-2\dataset_3\4820.jpg,dataset_3\4820.jpg,cat
D:\PP-Laba-2\dataset_3\5633.jpg,dataset_3\5633.jpg,cat
D:\PP-Laba-2\dataset_3\9828.jpg,dataset_3\9828.jpg,cat
D:\PP-Laba-2\dataset_3\3499.jpg,dataset_3\3499.jpg,cat
D:\PP-Laba-2\dataset_3\6557.jpg,dataset_3\6557.jpg,cat
D:\PP-Laba-2\dataset_3\7076.jpg,dataset_3\7076.jpg,cat
D:\PP-Laba-2\dataset_3\3186.jpg,dataset_3\3186.jpg,cat
D:\PP-Laba-2\dataset_3\9955.jpg,dataset_3\9955.jpg,cat
D:\PP-Laba-2\dataset_3\3070.jpg,dataset_3\3070.jpg,cat
D:\PP-Laba-2\dataset_3\8315.jpg,dataset_3\8315.jpg,cat
D:\PP-Laba-2\dataset_3\4213.jpg,dataset_3\4213.jpg,cat
D:\PP-Laba-2\dataset_3\6316.jpg,dataset_3\6316.jpg,cat
D:\PP-Laba-2\dataset_3\7977.jpg,dataset_3\7977.jpg,cat
D:\PP-Laba-2\dataset_3\1307.jpg,dataset_3\1307.jpg,cat
D:\PP-Laba-2\dataset_3\9208.jpg,dataset_3\9208.jpg,cat
D:\PP-Laba-2\dataset_3\5060.jpg,dataset_3\5060.jpg,cat
D:\PP-Laba-2\dataset_3\3969.jpg,dataset_3\3969.jpg,cat
D:\PP-Laba-2\dataset_3\5980.jpg,dataset_3\5980.jpg,cat
D:\PP-Laba-2\dataset_3\3077.jpg,dataset_3\3077.jpg,cat
D:\PP-Laba-2\dataset_3\9563.jpg,dataset_3\9563.jpg,cat
D:\PP-Laba-2\dataset_3\9542.jpg,dataset_3\9542.jpg,cat
D:\PP-Laba-2\dataset_3\23.jpg,dataset_3\23.jpg,cat
D:\PP-Laba-2\dataset_3\5946.jpg,dataset_3\5946.jpg,cat
D:\PP-Laba-2\dataset_3\2167.jpg,dataset_3\2167.jpg,cat
D:\PP-Laba-2\dataset_3\3512.jpg,dataset_3\3512.jpg,cat
D:\PP-Laba-2\dataset_3\5737.jpg,dataset_3\5737.jpg,cat
D:\PP-Laba-2\dataset_3\2323.jpg,dataset_3\2323.jpg,cat
D:\PP-Laba-2\dataset_3\5325.jpg,dataset_3\5325.jpg,cat
D:\PP-Laba-2\dataset_3\2940.jpg,dataset_3\2940.jpg,cat
D:\PP-Laba-2\dataset_3\8438.jpg,dataset_3\8438.jpg,cat
D:\PP-Laba-2\dataset_3\912.jpg,dataset_3\912.jpg,cat
D:\PP-Laba-2\dataset_3\3595.jpg,dataset_3\3595.jpg,cat
D:\PP-Laba-2\dataset_3\1456.jpg,dataset_3\1456.jpg,cat
D:\PP-Laba-2\dataset_3\9229.jpg,dataset_3\9229.jpg,cat
D:\PP-Laba-2\dataset_3\9755.jpg,dataset_3\9755.jpg,cat
D:\PP-Laba-2\dataset_3\7012.jpg,dataset_3\7012.jpg,cat
D:\PP-Laba-2\dataset_3\9060.jpg,dataset_3\9060.jpg,cat
D:\PP-Laba-2\dataset_3\7072.jpg,dataset_3\7072.jpg,cat
D:\PP-Laba-2\dataset_3\2589.jpg,dataset_3\2589.jpg,cat
D:\PP-Laba-2\dataset_3\129.jpg,dataset_3\129.jpg,cat
D:\PP-Laba-2\dataset_3\5207.jpg,dataset_3\5207.jpg,cat
D:\PP-Laba-2\dataset_3\2458.jpg,dataset_3\2458.jpg,cat
D:\PP-Laba-2\dataset_3\6972.jpg,dataset_3\6972.jpg,cat
D:\PP-Laba-2\dataset_3\2750.jpg,dataset_3\2750.jpg,cat
D:\PP-Laba-2\dataset_3\8294.jpg,dataset_3\8294.jpg,cat
D:\PP-Laba-2\dataset_3\9061.jpg,dataset_3\9061.jpg,cat
